"table","column","type","nullable","pk","fk","description"
"AdminTabRows","Id","TEXT","False","True","",""
"AdminTabRows","DataJson","TEXT","False","False","",""
"AdminTabRows","Position","INTEGER","False","False","",""
"AdminTabRows","TabId","TEXT","False","False","AdminTabs.Id (INFERRED)",""
"AdminTabs","Id","TEXT","False","True","",""
"AdminTabs","ColumnsJson","TEXT","False","False","",""
"AdminTabs","ConfigJson","TEXT","False","False","",""
"AdminTabs","FieldIdsJson","TEXT","False","False","",""
"AdminTabs","Label","TEXT","False","False","",""
"AdminTabs","Position","INTEGER","False","False","",""
"AdminTabs","PrimaryActionLabel","TEXT","True","False","",""
"AdminTabs","Type","TEXT","False","False","",""
"Assets","Id","TEXT","False","True","",""
"Assets","Comments","TEXT","False","False","",""
"Assets","MachineId","TEXT","False","False","",""
"Assets","MachineType","TEXT","False","False","",""
"Assets","PmCount","TEXT","False","False","",""
"Assets","Seq","INTEGER","False","False","",""
"Assets","SerialNumber","TEXT","False","False","",""
"AuditLogs","Id","TEXT","False","True","",""
"AuditLogs","Action","TEXT","False","False","",""
"AuditLogs","Details","TEXT","True","False","",""
"AuditLogs","IpAddress","TEXT","True","False","",""
"AuditLogs","Timestamp","TEXT","False","False","",""
"AuditLogs","UserEmail","TEXT","False","False","",""
"AuditLogs","UserId","TEXT","False","False","Users.Id (INFERRED)",""
"Customers","Id","TEXT","False","True","",""
"Customers","CustomerId","TEXT","False","False","",""
"Customers","Industry","TEXT","True","False","",""
"Customers","Logo","TEXT","True","False","",""
"Customers","LogoShape","TEXT","False","False","",""
"Customers","LogoSize","INTEGER","False","False","",""
"Customers","Name","TEXT","False","False","",""
"Customers","Office","TEXT","False","False","",""
"Customers","PhotoScale","INTEGER","False","False","",""
"CustomFieldDefinitions","Id","TEXT","False","True","",""
"CustomFieldDefinitions","FieldType","TEXT","False","False","",""
"CustomFieldDefinitions","IsActive","INTEGER","False","False","",""
"CustomFieldDefinitions","Name","TEXT","False","False","",""
"CustomFieldDefinitions","OptionsJson","TEXT","False","False","",""
"CustomFieldDefinitions","Product","TEXT","True","False","",""
"CustomFieldDefinitions","Scope","TEXT","False","False","",""
"CustomFieldDefinitions","SortOrder","INTEGER","False","False","",""
"Documents","Id","TEXT","False","True","",""
"Documents","ContentType","TEXT","True","False","",""
"Documents","FilePath","TEXT","True","False","",""
"Documents","FileSize","INTEGER","True","False","",""
"Documents","LinkedTo","TEXT","False","False","",""
"Documents","Name","TEXT","False","False","",""
"Documents","Type","TEXT","False","False","",""
"Documents","UploadedAt","TEXT","False","False","",""
"FieldDefinitions","Id","TEXT","False","True","",""
"FieldDefinitions","ActionType","TEXT","True","False","",""
"FieldDefinitions","FieldType","TEXT","False","False","",""
"FieldDefinitions","IsActive","INTEGER","False","False","",""
"FieldDefinitions","LinkToFieldId","TEXT","True","False","",""
"FieldDefinitions","Name","TEXT","False","False","",""
"FieldDefinitions","SortOrder","INTEGER","False","False","",""
"FieldDefinitions","TablesJson","TEXT","False","False","",""
"FieldValues","Id","TEXT","False","True","",""
"FieldValues","EntityId","TEXT","False","False","",""
"FieldValues","FieldDefinitionId","TEXT","False","False","FieldDefinitions.Id (INFERRED)",""
"FieldValues","TableName","TEXT","False","False","",""
"FieldValues","UpdatedAt","TEXT","False","False","",""
"FieldValues","Value","TEXT","False","False","",""
"InspectionPhotos","Id","TEXT","False","True","",""
"InspectionPhotos","ContentType","TEXT","True","False","",""
"InspectionPhotos","FileName","TEXT","False","False","",""
"InspectionPhotos","FilePath","TEXT","False","False","",""
"InspectionPhotos","FileSize","INTEGER","True","False","",""
"InspectionPhotos","InspectionId","TEXT","False","False","Inspections.Id (INFERRED)",""
"InspectionPhotos","UploadedAt","TEXT","False","False","",""
"Inspections","Id","TEXT","False","True","",""
"Inspections","Inspector","TEXT","False","False","",""
"Inspections","InstallationId","TEXT","False","False","Installations.Id (INFERRED)",""
"Inspections","Name","TEXT","False","False","",""
"Inspections","PhotoCount","INTEGER","False","False","",""
"Inspections","ScheduledDate","TEXT","True","False","",""
"Inspections","Status","TEXT","False","False","",""
"Installations","Id","TEXT","False","True","",""
"Installations","ActualFinish","TEXT","True","False","",""
"Installations","ActualStart","TEXT","True","False","",""
"Installations","AssignedTeam","TEXT","False","False","",""
"Installations","AssignedUsers","TEXT","False","False","Users.Id (INFERRED)",""
"Installations","CustomFieldsJson","TEXT","False","False","",""
"Installations","CustomerSignOffContact","TEXT","True","False","",""
"Installations","CustomerSignOffDate","TEXT","True","False","",""
"Installations","InstallationId","TEXT","True","False","",""
"Installations","InstallationName","TEXT","True","False","",""
"Installations","InstallationNumber","TEXT","False","False","",""
"Installations","InstallerNotes","TEXT","True","False","",""
"Installations","MachineType","TEXT","True","False","",""
"Installations","Office","TEXT","False","False","",""
"Installations","Pm1Serial","TEXT","True","False","",""
"Installations","Pm2Serial","TEXT","True","False","",""
"Installations","Pm3Serial","TEXT","True","False","",""
"Installations","Pm4Serial","TEXT","True","False","",""
"Installations","ProjectId","TEXT","False","False","Projects.Id (INFERRED)",""
"Installations","ScheduledEnd","TEXT","False","False","",""
"Installations","ScheduledStart","TEXT","False","False","",""
"Installations","SiteContactEmail","TEXT","True","False","",""
"Installations","SiteContactName","TEXT","True","False","",""
"Installations","SiteContactPhone","TEXT","True","False","",""
"Installations","SiteLocation","TEXT","False","False","",""
"Installations","Status","TEXT","False","False","",""
"InstallationTabRows","Id","TEXT","False","True","",""
"InstallationTabRows","DataJson","TEXT","False","False","",""
